EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName
70.0625,-5.25,-22.5625,-0.802001953,-0.186767578,0.073791504,0.562561035,-0.27,-0.15,0.08,-0.89,3.75,9.01,0.147517291,-0.005445144,-0.039278975,0,Relax
69.3125,-5.5625,-22.125,-0.806335449,-0.18572998,0.067993164,0.557434082,-0.1,-0.34,0.35,-0.95,3.68,9.03,0.122030597,-0.02595825,-0.013931633,0,Relax
68.25,-5.9375,-21.375,-0.812255859,-0.182983398,0.059814453,0.55065918,0.35,-0.13,0.08,-1.02,3.56,9.07,0.134583565,-0.041033275,0.004282103,0,Relax
66.375,-6.25,-20.875,-0.821716309,-0.18157959,0.052001953,0.537658691,0.01,0.11,-0.02,-1.07,3.47,9.1,0.124601452,-0.01227943,0.039035932,0,Relax
64.0625,-5.6875,-20.125,-0.833435059,-0.174560547,0.049499512,0.521972656,0.01,0,-0.33,-0.97,3.36,9.16,0.120188848,0.006545625,0.03579811,0,Relax
63.0625,-5.625,-19.1875,-0.839233398,-0.167907715,0.044250488,0.515319824,0.1,0.15,-0.38,-0.96,3.21,9.21,0.122061159,0.013593288,-0.012637103,0,Relax
63.125,-6.625,-18.9375,-0.838928223,-0.170410156,0.035522461,0.515686035,-0.31,1.01,0.48,-1.13,3.16,9.21,0.115915469,0.059132559,-0.030753519,0,Relax
62.25,-7.5,-18.375,-0.843139648,-0.170349121,0.025146484,0.509399414,-0.09,0.17,0.03,-1.28,3.06,9.22,0.093818413,0.104308901,-0.009089771,0,Relax
61.5625,-7.8125,-18.75,-0.845397949,-0.174865723,0.02355957,0.504089355,0.38,0,-0.43,-1.33,3.13,9.19,0.118613957,0.102940187,-0.047785822,0,Relax
61,-8.25,-19.0625,-0.847351074,-0.179016113,0.020507813,0.499450684,-0.09,0.05,0.26,-1.41,3.17,9.16,0.126338069,0.102368332,-0.062488309,0,Relax
60.8125,-8.25,-19,-0.848327637,-0.178771973,0.019714355,0.497924805,-0.26,0.02,0.44,-1.41,3.16,9.17,0.09346502,0.095602042,-0.02621627,0,Relax
61.4375,-7.5625,-19.3125,-0.84564209,-0.177734375,0.02746582,0.502502441,-0.03,0.03,0.07,-1.29,3.21,9.17,0.077471186,0.084082008,-0.01226723,0,Relax
62.3125,-6.6875,-20.5625,-0.840576172,-0.182922363,0.04119873,0.508178711,-0.15,0.35,-0.16,-1.14,3.42,9.11,0.060408662,0.094312758,-0.028517885,0,Relax
62.8125,-6.125,-21.8125,-0.836608887,-0.189331055,0.051452637,0.511413574,-0.2,-0.12,-0.11,-1.05,3.62,9.05,0.040290314,0.104537034,-0.019749112,0,Relax
63.6875,-6.5,-21.875,-0.832519531,-0.190979004,0.050415039,0.51763916,-0.15,-0.16,-0.09,-1.11,3.63,9.04,0.011793014,0.088888878,-0.021934343,0,Relax
64.4375,-7.0625,-21.4375,-0.829467773,-0.190246582,0.045715332,0.523132324,0.1,0.05,-0.03,-1.2,3.56,9.05,0.010761999,0.079788188,-0.03181982,0,Relax
65.1875,-7.4375,-21.375,-0.82598877,-0.191162109,0.043884277,0.528442383,0.07,0.08,0.22,-1.27,3.55,9.05,0.02099549,0.083765868,-0.025200596,0,Relax
65.75,-7.1875,-21.5625,-0.823242188,-0.19140625,0.047180176,0.532409668,0.06,-0.01,0.15,-1.23,3.58,9.04,0.028173769,0.082900286,-0.008378787,0,Relax
66.375,-6.9375,-21.625,-0.820495605,-0.190124512,0.050476074,0.536743164,-0.1,-0.08,0.13,-1.18,3.59,9.04,0.02457484,0.068590692,-0.0005551,0,Relax
66.75,-7.125,-21.5625,-0.818664551,-0.190429688,0.04876709,0.539550781,0.05,-0.01,0.15,-1.23,3.57,9.04,0.022132876,0.058651772,0.008994862,0,Relax
66.6875,-7.6875,-21.0625,-0.819335938,-0.18927002,0.041809082,0.539550781,0.12,0,0.11,-1.33,3.48,9.06,0.029754007,0.049294483,0.015415409,0,Relax
66.75,-8.0625,-20.6875,-0.819396973,-0.188415527,0.038452148,0.540039063,0.2,0.09,0,-1.37,3.43,9.08,0.042587999,0.053994228,0.012846528,0,Relax
66.6875,-7.9375,-20.5625,-0.819824219,-0.187011719,0.038818359,0.539794922,0.05,0.08,0.05,-1.35,3.41,9.09,0.055737249,0.056878089,0.006580273,0,Relax
66.5625,-7.625,-20.5625,-0.820617676,-0.185852051,0.04083252,0.538818359,-0.02,0.02,0.02,-1.3,3.42,9.09,0.055018411,0.056584461,0.004963372,0,Relax
66.25,-7.5,-20.5,-0.822143555,-0.184692383,0.041015625,0.536987305,-0.18,-0.03,0.13,-1.28,3.4,9.1,0.041739882,0.053692335,0.011597178,0,Relax
66.125,-7.4375,-20.5,-0.822875977,-0.184448242,0.041015625,0.535888672,-0.16,0.05,0,-1.27,3.4,9.1,0.026926571,0.048867626,0.005976296,0,Relax
66,-7.625,-20.5,-0.823425293,-0.185119629,0.039489746,0.534973145,-0.05,0.02,0.02,-1.3,3.4,9.1,0.014456387,0.048723364,0.001357994,0,Relax
65.9375,-7.75,-20.4375,-0.823608398,-0.18548584,0.038146973,0.534545898,0.02,0.13,0,-1.33,3.39,9.1,0.011781922,0.047470488,-0.004575654,0,Relax
66,-7.875,-20.4375,-0.823181152,-0.186340332,0.037353516,0.534973145,0.01,0.06,0,-1.35,3.4,9.09,0.014786433,0.053217892,-0.006026407,0,Relax
66.0625,-7.9375,-20.5,-0.822814941,-0.187072754,0.03729248,0.53527832,0.01,0.07,0.04,-1.36,3.41,9.09,0.01718269,0.054528237,-0.005917399,0,Relax
66,-7.9375,-20.625,-0.822998047,-0.187805176,0.037902832,0.534790039,-0.04,0.01,0.02,-1.35,3.42,9.08,0.018521086,0.058415334,-0.003594806,0,Relax
66,-7.875,-20.75,-0.822998047,-0.188232422,0.039001465,0.534545898,0,-0.07,-0.01,-1.34,3.44,9.08,0.015341798,0.052678486,-0.0028115,0,Relax
66.0625,-7.875,-20.8125,-0.822631836,-0.188903809,0.039306641,0.534851074,1.02,-0.03,0.68,-1.34,3.45,9.07,0.057108453,0.040775534,0.017050654,1,Push
65.125,-6.9375,-20,-0.828369141,-0.178710938,0.041137695,0.52935791,2.74,-1.36,-0.17,-1.18,3.33,9.14,0.22272564,0.028481219,0.107312213,1,Push
62.875,-6.125,-18.3125,-0.840942383,-0.16394043,0.036560059,0.514465332,4.11,-0.66,1.05,-1.05,3.07,9.25,0.551362152,-0.037312518,0.100998628,1,Push
62.3125,-7.5625,-15.1875,-0.846252441,-0.147277832,0.011169434,0.511901855,-0.4,-0.09,-1.17,-1.29,2.55,9.37,0.694235625,-0.121411436,0.060384626,1,Push
63.9375,-12,-12.8125,-0.838439941,-0.149108887,-0.031433105,0.52331543,-1,0.01,-0.59,-2.04,2.12,9.35,0.492705416,-0.046686564,0.112880827,1,Push
