Timestamp,EulerH,EulerR,EulerP,QuaternionW,QuaternionX,QuaternionY,QuaternionZ,LinearAccelerationX,LinearAccelerationY,LinearAccelerationZ,GravityX,GravityY,GravityZ,TemperatureInCelcius,SystemCalibration,GyroCalibration,AccelerometerCalibration,MagnotometerCalibration,BatteryLevel,Received,Skipped,DateTime,X_MeanAdjIntegral_0.995,Y_MeanAdjIntegral_0.995,Z_MeanAdjIntegral_0.995,GestureNumber,GestureName,Bad
1563666,13,21.0625,-101.75,-0.63214111328125,-0.6810302734375,0.36236572265625,0.072265625,-0.16,0,-0.01,3.52,8.95,-1.86,29,1,3,3,2,0,30,338,2016-08-23 12:08:04.558,-0.0479251700672081,0.0185944251706565,0.0268615704650331,0,Relax,
1563676,13,21.0625,-101.75,-0.63214111328125,-0.6810302734375,0.36236572265625,0.072265625,-0.16,0,-0.01,3.52,8.95,-1.86,29,1,3,3,2,0,30,339,2016-08-23 12:08:04.558,-0.048866744216872,0.0183484530448033,0.0263974626127079,0,Relax,
1564896,13,21.0625,-101.625,-0.63299560546875,-0.6806640625,0.3616943359375,0.072265625,-0.04,0.04,0.03,3.52,8.96,-1.84,29,1,3,3,2,0,40,451,2016-08-23 12:08:04.737,-0.0208880861159885,0.00929727406882441,0.0176549555386635,0,Relax,
1564906,13,21.0625,-101.625,-0.63299560546875,-0.6806640625,0.3616943359375,0.072265625,-0.04,0.04,-0.02,3.52,8.96,-1.84,29,1,3,3,2,0,40,452,2016-08-23 12:08:04.747,-0.0206628456854086,0.00945578769848029,0.0170620807609702,0,Relax,
1564916,13,21.0625,-101.625,-0.63299560546875,-0.68060302734375,0.3616943359375,0.07232666015625,-0.03,0,0.01,3.52,8.96,-1.84,29,1,3,3,2,0,40,453,2016-08-23 12:08:04.752,-0.0203379314569815,0.00921270875998789,0.0167725703571653,0,Relax,
1564926,13,21.0625,-101.5625,-0.633056640625,-0.68060302734375,0.3616943359375,0.07232666015625,-0.02,0,0.06,3.52,8.96,-1.84,29,1,3,3,2,0,40,454,2016-08-23 12:08:04.754,-0.0199140417996966,0.00897084521618795,0.0169843075053795,0,Relax,
1564936,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.03,-0.01,0.07,3.52,8.96,-1.84,29,1,3,3,2,0,40,455,2016-08-23 12:08:04.754,-0.0195918715906981,0.00863019099010701,0.0172937859678526,0,Relax,
1564946,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.03,0.01,0.09,3.52,8.96,-1.84,29,1,3,3,2,0,40,456,2016-08-23 12:08:04.754,-0.0192707122327446,0.00849144003515648,0.0178003170380133,0,Relax,
1564956,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.06,-0.02,0.02,3.52,8.96,-1.84,29,1,3,3,2,0,40,457,2016-08-23 12:08:04.756,-0.0192505586715809,0.0080531828349807,0.0176025154528233,0,Relax,
1564966,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.05,0.07,0.02,3.52,8.96,-1.84,29,1,3,3,2,0,40,458,2016-08-23 12:08:04.757,-0.019129305878223,0.00851751692080579,0.0174053028755592,0,Relax,
1564976,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.04,0.03,0.02,3.52,8.96,-1.84,29,1,3,3,2,0,40,459,2016-08-23 12:08:04.757,-0.0189076593488319,0.00857812933620177,0.0172086763611814,0,Relax,
1564986,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.04,0,0.03,3.52,8.96,-1.84,29,1,3,3,2,0,40,460,2016-08-23 12:08:04.758,-0.0186863210520877,0.00833783868952076,0.0171126329793755,0,Relax,
1564997,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.06,-0.03,0.04,3.52,8.96,-1.84,29,1,3,3,2,0,40,461,2016-08-23 12:08:04.759,-0.0186676894468273,0.00779874949607315,0.0171160698144786,0,Relax,
1565006,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.03,0.03,-0.03,3.52,8.96,-1.84,29,1,3,3,2,0,40,462,2016-08-23 12:08:04.760,-0.0183505509995932,0.00786335574859279,0.0164192894654062,0,Relax,
1565016,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.05,0.01,0.02,3.52,8.96,-1.84,29,1,3,3,2,0,40,463,2016-08-23 12:08:04.761,-0.0182365982445952,0.00772803896984982,0.0162277930180792,0,Relax,
1565026,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.04,0.04,0.05,3.52,8.96,-1.84,29,1,3,3,2,0,40,464,2016-08-23 12:08:04.764,-0.0180238152533722,0.00789499877500058,0.0163382540529888,0,Relax,
1565036,13,21.0625,-101.5625,-0.63311767578125,-0.6805419921875,0.3616943359375,0.0723876953125,-0.06,0.01,0.07,3.52,8.96,-1.84,29,1,3,3,2,0,40,465,2016-08-23 12:08:04.764,-0.0180118961771054,0.00776112378112557,0.0166487627827238,0,Relax,
